run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_cpu_q1,tpch,1,q1,cpu,345,28,29.3,77.88,969,948,56.0,59.8,15841,6.2,28,1.6,125.4,3.3,3.5,OK
tpch_sf1_cpu_q2,tpch,1,q2,cpu,770,5,6.2,33.06,409,281,55.7,72.2,15841,11.6,62,0.3,125.5,3.4,0.6,OK
tpch_sf1_cpu_q3,tpch,1,q3,cpu,477,0,0.0,1.30,16,15,55.1,56.8,15723,4.0,4,0.0,117.6,2.0,0.0,FAIL
tpch_sf1_cpu_q4,tpch,1,q4,cpu,770,13,13.4,163.87,2040,1958,54.3,88.8,15841,3.7,73,0.7,125.8,3.5,1.6,OK
tpch_sf1_cpu_q5,tpch,1,q5,cpu,435,22,23.8,109.28,1369,1360,58.8,103.9,15841,7.3,77,1.3,-2475.5,3.4,-54.5,OK
tpch_sf1_cpu_q6,tpch,1,q6,cpu,625,0,0.0,24.09,300,244,58.3,84.1,15841,6.0,46,0.0,125.1,3.2,0.0,FAIL
tpch_sf1_cpu_q7,tpch,1,q7,cpu,417,23,24.4,102.39,1280,1227,55.1,68.4,15827,3.7,48,1.3,125.3,3.4,2.9,OK
tpch_sf1_cpu_q8,tpch,1,q8,cpu,371,26,30.8,109.56,1359,1310,60.5,137.8,15829,6.9,100,1.6,133.8,3.4,3.5,OK
tpch_sf1_cpu_q9,tpch,1,q9,cpu,304,33,38.5,102.81,1259,1143,59.4,137.2,15829,6.0,100,2.0,138.4,3.5,4.6,OK
tpch_sf1_cpu_q10,tpch,1,q10,cpu,455,0,0.0,6.76,82,16,104.4,128.5,15357,68.0,83,0.0,123.9,2.1,0.0,FAIL
tpch_sf1_cpu_q11,tpch,1,q11,cpu,715,14,17.0,34.59,414,370,69.7,147.4,15797,14.0,100,1.0,132.2,3.4,1.9,OK
