benchmark,sf,query,storage,n_reps,min_ms,avg_ms,max_ms,status
tpch,1,q1,cpu,3,25,35.0,55,OK
tpch,1,q3,cpu,3,13,16.0,22,OK
tpch,1,q6,cpu,3,9,119.67,341,OK
tpch,5,q1,cpu,3,126,137.67,160,OK
tpch,5,q3,cpu,3,58,66.0,81,OK
tpch,5,q6,cpu,3,44,75.67,137,OK
tpch,10,q1,cpu,3,249,411.0,733,OK
tpch,10,q3,cpu,3,116,156.33,237,OK
tpch,10,q6,cpu,3,90,322.0,648,OK
tpch,20,q1,cpu,3,506,632.67,879,OK
tpch,20,q3,cpu,3,240,296.0,402,OK
tpch,20,q6,cpu,3,182,210.67,267,OK
h2o,1gb,q1,cpu,3,56,72.67,94,OK
h2o,1gb,q3,cpu,3,307,413.67,471,OK
h2o,1gb,q5,cpu,3,71,79.0,95,OK
h2o,2gb,q1,cpu,3,112,135.67,171,OK
h2o,2gb,q3,cpu,3,460,786.33,1427,OK
h2o,2gb,q5,cpu,3,142,153.67,167,OK
h2o,3gb,q1,cpu,3,192,200.67,214,OK
h2o,3gb,q3,cpu,3,537,786.33,952,OK
h2o,3gb,q5,cpu,3,213,246.67,292,OK
h2o,4gb,q1,cpu,3,245,262.33,283,OK
h2o,4gb,q3,cpu,3,829,1220.33,1570,OK
h2o,4gb,q5,cpu,3,314,334.33,359,OK
microbench_tpch,1,w1_002,cpu,3,1,43.67,129,OK
microbench_tpch,1,w3_001,cpu,3,0,11.0,33,OK
microbench_tpch,1,w5a_029,cpu,3,3,6.0,12,OK
microbench_tpch,5,w1_002,cpu,3,6,7.0,9,OK
microbench_tpch,5,w3_001,cpu,3,1,12.33,35,OK
microbench_tpch,5,w5a_029,cpu,3,14,14.33,15,OK
microbench_tpch,10,w1_002,cpu,3,19,34.33,46,OK
microbench_tpch,10,w3_001,cpu,3,2,9.67,25,OK
microbench_tpch,10,w5a_029,cpu,3,46,87.33,163,OK
microbench_tpch,20,w1_002,cpu,3,36,40.0,45,OK
microbench_tpch,20,w3_001,cpu,3,5,13.33,30,OK
microbench_tpch,20,w5a_029,cpu,3,77,91.0,101,OK
microbench_h2o,1gb,w1_001,cpu,3,13,19.0,31,OK
microbench_h2o,1gb,w3_016,cpu,3,81,187.0,395,OK
microbench_h2o,1gb,w6_022,cpu,3,93,100.0,110,OK
microbench_h2o,2gb,w1_001,cpu,3,33,152.33,389,OK
microbench_h2o,2gb,w3_016,cpu,3,112,169.33,284,OK
microbench_h2o,2gb,w6_022,cpu,3,181,201.0,215,OK
microbench_h2o,3gb,w1_001,cpu,3,37,176.0,445,OK
microbench_h2o,3gb,w3_016,cpu,3,182,199.0,212,OK
microbench_h2o,3gb,w6_022,cpu,3,284,311.67,364,OK
microbench_h2o,4gb,w1_001,cpu,3,68,166.33,354,OK
microbench_h2o,4gb,w3_016,cpu,3,261,262.33,263,OK
microbench_h2o,4gb,w6_022,cpu,3,391,425.33,455,OK
