engine,benchmark,sf,query,n_reps,target_reps,min_s,avg_s,max_s,status
maximus,tpch,1,q1,49,50,0.0180,0.0189,0.0250,OK
maximus,tpch,1,q2,49,50,0.0050,0.0050,0.0060,OK
maximus,tpch,1,q3,49,50,0.0130,0.0142,0.0160,OK
maximus,tpch,1,q4,49,50,0.0090,0.0098,0.0110,OK
maximus,tpch,1,q5,49,50,0.0150,0.0165,0.0180,OK
maximus,tpch,1,q6,49,50,0.0100,0.0102,0.0130,OK
maximus,tpch,1,q7,49,50,0.0160,0.0164,0.0180,OK
maximus,tpch,1,q8,49,50,0.0170,0.0175,0.0200,OK
maximus,tpch,1,q9,49,50,0.0210,0.0213,0.0220,OK
maximus,tpch,1,q10,49,50,0.0140,0.0149,0.0150,OK
maximus,tpch,1,q11,49,50,0.0090,0.0099,0.0110,OK
maximus,tpch,1,q12,49,50,0.0580,0.0584,0.0710,OK
maximus,tpch,1,q13,49,50,0.0210,0.0211,0.0260,OK
maximus,tpch,1,q14,49,50,0.0490,0.0500,0.0510,OK
maximus,tpch,1,q15,49,50,0.0480,0.0482,0.0490,OK
maximus,tpch,1,q16,49,50,0.0270,0.0276,0.0320,OK
maximus,tpch,1,q17,49,50,0.0520,0.0526,0.0550,OK
maximus,tpch,1,q18,49,50,0.0610,0.0633,0.0990,OK
maximus,tpch,1,q19,49,50,0.0580,0.0596,0.0760,OK
maximus,tpch,1,q20,49,50,0.0590,0.0596,0.0600,OK
maximus,tpch,1,q21,49,50,0.0930,0.0939,0.0980,OK
maximus,tpch,1,q22,49,50,0.0140,0.0147,0.0160,OK
