run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf1_q1,tpch,1,q1,gpu,2500,4,4.0,24.45,305,264,203.7,205.2,6565,92.7,93,0.8,110.5,1.8,0.4,OK
tpch_sf1_q2,tpch,1,q2,gpu,5000,2,2.1,25.19,325,277,92.5,94.6,3451,54.3,55,0.2,111.0,1.8,0.2,OK
tpch_sf1_q3,tpch,1,q3,gpu,5000,2,2.0,42.48,532,495,167.3,169.1,6565,91.2,92,0.3,110.9,1.8,0.2,OK
tpch_sf1_q4,tpch,1,q4,gpu,10000,1,1.0,69.25,843,838,177.4,184.3,6563,88.5,93,0.2,111.3,1.8,0.1,OK
tpch_sf1_q5,tpch,1,q5,gpu,5000,2,2.0,43.46,533,529,172.9,182.2,6563,83.3,88,0.3,111.4,1.8,0.2,OK
tpch_sf1_q6,tpch,1,q6,gpu,100,0,0.3,3.41,40,5,123.6,125.2,335,92.0,92,0.0,110.7,1.8,0.0,OK
tpch_sf1_q7,tpch,1,q7,gpu,5000,2,2.0,44.38,547,545,154.8,162.2,6563,77.6,92,0.3,111.2,1.8,0.2,OK
tpch_sf1_q8,tpch,1,q8,gpu,5000,2,2.0,44.15,535,495,166.6,168.1,6563,83.0,84,0.3,110.9,1.8,0.2,OK
tpch_sf1_q9,tpch,1,q9,gpu,3334,3,3.0,35.98,450,405,185.5,186.6,6565,90.0,90,0.6,111.3,1.8,0.3,OK
tpch_sf1_q10,tpch,1,q10,gpu,5000,2,2.0,41.24,515,473,162.4,164.1,6565,83.6,84,0.3,110.9,1.8,0.2,OK
tpch_sf1_q11,tpch,1,q11,gpu,5000,2,2.1,21.13,272,272,153.1,169.8,3465,59.2,83,0.3,111.1,1.8,0.2,OK
tpch_sf1_q12,tpch,1,q12,gpu,5000,1,2.0,40.00,489,456,167.1,169.6,6563,83.7,85,0.2,111.3,1.8,0.1,OK
tpch_sf1_q13,tpch,1,q13,gpu,715,14,14.1,14.14,181,130,251.8,254.2,3453,95.0,95,3.5,111.3,1.8,1.6,OK
tpch_sf1_q14,tpch,1,q14,gpu,10000,1,1.1,65.62,818,813,155.7,161.3,6561,79.2,95,0.2,110.9,1.8,0.1,OK
tpch_sf1_q15,tpch,1,q15,gpu,10000,1,1.1,62.87,783,745,161.3,163.3,6567,81.3,83,0.2,110.9,1.8,0.1,OK
tpch_sf1_q16,tpch,1,q16,gpu,556,18,18.1,13.89,180,131,103.6,104.6,3449,93.0,93,1.9,111.3,1.8,2.0,OK
tpch_sf1_q17,tpch,1,q17,gpu,3334,3,3.0,28.91,368,367,140.2,150.4,6565,69.4,93,0.4,110.8,1.8,0.3,OK
tpch_sf1_q18,tpch,1,q18,gpu,3334,3,3.0,33.04,404,369,172.7,175.1,6565,91.0,91,0.5,111.4,1.8,0.3,OK
tpch_sf1_q19,tpch,1,q19,gpu,589,16,16.9,16.04,202,161,230.1,232.8,6561,91.4,92,3.7,111.2,1.8,1.8,OK
tpch_sf1_q20,tpch,1,q20,gpu,3334,3,3.0,32.76,405,367,149.8,151.6,6563,80.0,81,0.4,111.1,1.8,0.3,OK
tpch_sf1_q21,tpch,1,q21,gpu,173,58,58.6,14.14,178,138,219.8,223.3,12791,96.2,97,12.7,111.3,1.8,6.5,OK
tpch_sf1_q22,tpch,1,q22,gpu,5000,2,2.1,25.43,328,328,96.3,112.2,3463,37.9,95,0.2,111.1,1.8,0.2,OK
