run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q1,tpch,2,q1,gpu,834,8,14.0,25.52,309,260,176.2,180.3,13025,94.5,97,1.4,117.4,1.8,0.9,OK
tpch_sf2_q2,tpch,2,q2,gpu,3334,3,12.3,65.67,830,829,110.4,119.5,7293,83.4,96,0.3,118.2,1.8,0.4,OK
tpch_sf2_q3,tpch,2,q3,gpu,1250,3,7.2,32.79,394,342,160.8,162.8,13119,95.3,96,0.5,117.6,1.8,0.4,OK
tpch_sf2_q4,tpch,2,q4,gpu,1250,2,6.2,29.52,352,314,166.2,170.1,13035,95.5,97,0.3,118.6,1.8,0.2,OK
tpch_sf2_q5,tpch,2,q5,gpu,834,4,10.0,25.35,307,271,165.4,171.1,13101,95.0,96,0.7,117.4,1.8,0.5,OK
tpch_sf2_q6,tpch,2,q6,gpu,5000,1,2.7,78.21,922,877,170.7,176.0,13079,92.4,97,0.2,117.5,1.8,0.1,OK
tpch_sf2_q7,tpch,2,q7,gpu,1112,3,10.6,35.32,435,399,151.2,155.0,13075,93.9,95,0.5,119.0,1.8,0.4,OK
tpch_sf2_q8,tpch,2,q8,gpu,1429,3,9.2,42.46,510,460,156.4,161.5,13131,94.1,95,0.5,118.7,1.8,0.4,OK
tpch_sf2_q9,tpch,2,q9,gpu,910,6,10.6,27.17,327,325,168.2,198.4,12955,86.0,96,1.0,119.4,1.8,0.7,OK
tpch_sf2_q10,tpch,2,q10,gpu,1429,2,6.9,32.42,384,348,149.9,175.4,13287,92.8,95,0.3,118.7,1.8,0.2,OK
tpch_sf2_q11,tpch,2,q11,gpu,770,3,10.2,13.62,170,102,139.1,145.2,7099,92.0,94,0.4,120.3,1.8,0.4,OK
tpch_sf2_q12,tpch,2,q12,gpu,3334,2,7.9,79.76,959,917,146.4,153.1,13087,93.9,95,0.3,118.2,1.8,0.2,OK
tpch_sf2_q13,tpch,2,q13,gpu,278,27,42.1,15.75,197,197,183.9,220.3,7075,77.2,97,5.0,119.8,1.8,3.2,OK
tpch_sf2_q14,tpch,2,q14,gpu,910,2,8.3,21.89,269,267,130.0,141.3,13051,77.2,97,0.3,118.0,1.8,0.2,OK
tpch_sf2_q15,tpch,2,q15,gpu,1667,1,6.6,34.57,416,378,140.8,145.8,13027,89.7,95,0.1,118.2,1.8,0.1,OK
tpch_sf2_q16,tpch,2,q16,gpu,218,20,33.8,11.47,143,50,119.0,121.3,7059,94.9,95,2.4,118.8,1.8,2.4,OK
tpch_sf2_q17,tpch,2,q17,gpu,910,3,14.2,27.65,342,341,124.3,134.5,12993,84.6,95,0.4,118.5,1.8,0.4,OK
tpch_sf2_q18,tpch,2,q18,gpu,589,6,12.4,18.99,231,192,151.8,155.4,12983,95.5,96,0.9,117.9,1.8,0.7,OK
tpch_sf2_q19,tpch,2,q19,gpu,233,33,48.3,18.44,231,192,190.9,196.9,13061,94.4,96,6.3,119.2,1.8,3.9,OK
tpch_sf2_q20,tpch,2,q20,gpu,455,4,14.8,16.64,208,173,131.7,137.8,13019,93.7,94,0.5,118.0,1.8,0.5,OK
tpch_sf2_q21,tpch,2,q21,gpu,59,145,171.9,13.95,176,174,166.0,194.2,14571,79.9,97,24.1,118.0,1.8,17.1,OK
tpch_sf2_q22,tpch,2,q22,gpu,589,2,10.3,14.52,184,125,101.2,103.6,7109,87.0,93,0.2,119.7,1.8,0.2,OK
