run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf1gb_q1,1gb,q1,28,19.7,100.0,15.0,105.1,1.8
h2o_sf1gb_q1,1gb,q1,150,19.49,100.0,16.0,99.9,1.8
h2o_sf1gb_q1,1gb,q1,235,19.34,0.0,32.0,100.2,1.8
h2o_sf1gb_q1,1gb,q1,315,19.57,0.0,283.0,127.1,2.0
h2o_sf1gb_q1,1gb,q1,395,20.07,0.0,283.0,118.5,1.9
h2o_sf1gb_q1,1gb,q1,472,20.07,0.0,283.0,123.1,1.9
h2o_sf1gb_q1,1gb,q1,549,19.72,0.0,283.0,127.4,2.2
h2o_sf1gb_q1,1gb,q1,626,19.75,0.0,283.0,129.3,2.5
h2o_sf1gb_q1,1gb,q1,703,17.36,0.0,283.0,107.2,1.9
h2o_sf1gb_q1,1gb,q1,779,17.36,0.0,283.0,107.4,2.0
h2o_sf1gb_q1,1gb,q1,857,17.25,0.0,283.0,119.6,2.1
h2o_sf1gb_q1,1gb,q1,934,16.9,0.0,283.0,111.7,1.9
h2o_sf1gb_q1,1gb,q1,1082,16.62,0.0,283.0,108.0,1.8
h2o_sf1gb_q1,1gb,q1,1158,16.62,0.0,283.0,105.3,1.9
h2o_sf1gb_q1,1gb,q1,1235,16.54,0.0,283.0,105.3,1.9
h2o_sf1gb_q1,1gb,q1,1311,16.29,0.0,283.0,104.9,1.9
h2o_sf1gb_q1,1gb,q1,1387,16.29,0.0,283.0,106.4,1.8
h2o_sf1gb_q1,1gb,q1,1463,16.29,0.0,283.0,114.8,1.9
h2o_sf1gb_q1,1gb,q1,1540,16.29,0.0,283.0,115.1,1.9
h2o_sf1gb_q1,1gb,q1,1617,16.29,0.0,283.0,112.6,2.0
h2o_sf1gb_q1,1gb,q1,1693,16.29,0.0,283.0,106.6,1.8
h2o_sf1gb_q1,1gb,q1,1771,16.29,0.0,283.0,107.7,2.0
h2o_sf1gb_q1,1gb,q1,1848,16.29,0.0,283.0,104.9,1.8
h2o_sf1gb_q1,1gb,q1,1925,16.29,0.0,283.0,106.2,1.9
h2o_sf1gb_q1,1gb,q1,2003,16.29,0.0,283.0,106.3,1.8
h2o_sf1gb_q1,1gb,q1,2084,16.29,0.0,283.0,106.9,1.9
h2o_sf1gb_q1,1gb,q1,2233,16.29,0.0,283.0,112.2,2.3
h2o_sf1gb_q1,1gb,q1,2310,15.19,0.0,283.0,107.3,1.9
h2o_sf1gb_q1,1gb,q1,2387,15.19,0.0,283.0,106.1,1.8
h2o_sf1gb_q1,1gb,q1,2465,15.19,0.0,283.0,114.3,1.9
h2o_sf1gb_q1,1gb,q1,2543,15.19,0.0,283.0,114.7,1.9
h2o_sf1gb_q1,1gb,q1,2620,15.19,0.0,283.0,111.6,2.0
h2o_sf1gb_q1,1gb,q1,2849,15.05,0.0,299.0,105.8,2.1
h2o_sf1gb_q1,1gb,q1,2928,15.14,0.0,15669.0,108.1,1.8
h2o_sf1gb_q1,1gb,q1,3015,15.25,0.0,15669.0,120.7,2.1
h2o_sf1gb_q1,1gb,q1,3099,16.06,0.0,15669.0,104.6,1.8
h2o_sf1gb_q1,1gb,q1,3220,16.57,0.0,15703.0,108.1,1.8
h2o_sf1gb_q1,1gb,q1,3432,17.79,0.0,15739.0,106.8,1.8
h2o_sf1gb_q1,1gb,q1,3556,22.34,0.0,15775.0,115.5,1.8
h2o_sf1gb_q1,1gb,q1,3667,23.85,0.0,15809.0,110.7,1.8
h2o_sf1gb_q1,1gb,q1,3779,25.14,0.0,15835.0,107.0,1.8
h2o_sf1gb_q1,1gb,q1,3918,26.29,0.0,5597.0,109.9,1.8
h2o_sf1gb_q1,1gb,q1,4280,35.39,0.0,5583.0,106.0,1.8
h2o_sf1gb_q1,1gb,q1,4358,35.33,100.0,5583.0,105.5,1.8
h2o_sf1gb_q1,1gb,q1,4438,34.14,100.0,5583.0,109.1,1.8
h2o_sf1gb_q1,1gb,q1,4573,32.21,100.0,5583.0,117.7,1.8
h2o_sf1gb_q1,1gb,q1,4652,30.8,100.0,5583.0,108.1,1.8
h2o_sf1gb_q1,1gb,q1,4730,27.08,100.0,5583.0,106.0,1.8
h2o_sf1gb_q1,1gb,q1,4808,24.43,100.0,5583.0,106.8,1.9
h2o_sf1gb_q1,1gb,q1,5074,22.86,100.0,463.0,100.4,1.8
h2o_sf1gb_q1,1gb,q1,5225,20.89,1.0,15.0,100.1,1.9
h2o_sf1gb_q1,1gb,q1,5319,20.74,1.0,15.0,104.1,1.9
h2o_sf1gb_q1,1gb,q1,5490,19.93,1.0,18.0,103.6,1.8
h2o_sf1gb_q1,1gb,q1,5574,19.55,1.0,45.0,114.0,1.9
h2o_sf1gb_q1,1gb,q1,5730,20.11,1.0,283.0,109.3,1.9
