run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q01,tpch,2,q01,146,0.0040,0.1678,34.73,222,180,35.1,43.3,15841,76.5,100,0.14,110.3,1.8,0.44,OK
tpch_sf2_q02,tpch,2,q02,1819,0.0060,0.0087,20.52,245,242,26.2,30.1,15841,23.9,100,0.16,108.0,1.8,0.65,OK
tpch_sf2_q03,tpch,2,q03,870,0.0140,0.0198,22.05,200,149,35.5,38.2,15841,73.3,100,0.50,113.3,1.8,1.59,OK
tpch_sf2_q04,tpch,2,q04,741,0.0190,0.0250,23.29,195,149,37.1,39.3,15841,81.2,100,0.70,109.6,1.8,2.08,OK
tpch_sf2_q05,tpch,2,q05,2668,0.0040,0.0082,31.70,333,331,28.1,35.9,15841,28.2,100,0.11,111.2,1.9,0.44,OK
tpch_sf2_q06,tpch,2,q06,488,0.0380,0.0430,25.71,160,117,39.5,41.2,15841,85.0,100,1.50,111.0,1.8,4.22,OK
tpch_sf2_q07,tpch,2,q07,770,0.0170,0.0226,22.20,201,201,31.4,37.6,15841,53.3,100,0.53,111.4,1.8,1.89,OK
tpch_sf2_q08,tpch,2,q08,2354,0.0060,0.0109,35.91,374,374,28.0,34.9,15841,32.7,100,0.17,110.5,1.8,0.66,OK
tpch_sf2_q09,tpch,2,q09,910,0.0070,0.0207,28.86,270,225,34.9,43.0,15841,55.5,100,0.24,111.4,1.8,0.78,OK
tpch_sf2_q10,tpch,2,q10,1178,0.0170,0.0249,39.41,343,339,31.1,38.3,15841,51.0,100,0.53,113.0,1.8,1.92,OK
tpch_sf2_q11,tpch,2,q11,6667,0.0010,0.0026,38.90,463,411,32.3,33.5,15841,13.0,22,0.03,119.2,1.8,0.12,OK
tpch_sf2_q12,tpch,2,q12,556,0.0200,0.0284,20.86,169,121,37.4,41.1,15841,79.0,92,0.75,121.0,1.8,2.42,OK
tpch_sf2_q13,tpch,2,q13,1780,0.0440,0.0809,24.10,212,207,26.0,47.9,15841,32.3,100,1.14,120.0,1.9,5.28,OK
tpch_sf2_q14,tpch,2,q14,1429,0.0100,0.0141,24.90,242,185,34.7,36.4,15841,72.9,100,0.35,119.9,1.8,1.20,OK
tpch_sf2_q15,tpch,2,q15,1112,0.0100,0.0162,22.95,216,213,30.7,36.2,15841,60.4,100,0.31,119.7,1.9,1.20,OK
tpch_sf2_q16,tpch,2,q16,1178,0.0020,0.0114,23.08,250,206,31.3,39.4,15841,57.7,100,0.06,123.5,1.9,0.25,OK
tpch_sf2_q17,tpch,2,q17,1820,0.0020,0.0098,29.16,282,188,44.0,51.8,15841,66.2,100,0.09,121.4,1.9,0.24,OK
tpch_sf2_q18,tpch,2,q18,211,0.0830,0.0930,24.42,197,143,42.9,44.9,15841,88.4,97,3.56,120.9,1.8,10.03,OK
tpch_sf2_q19,tpch,2,q19,852,0.0210,0.0405,24.81,206,165,30.4,39.5,15841,58.9,100,0.64,121.8,1.9,2.56,OK
tpch_sf2_q20,tpch,2,q20,834,0.0160,0.0224,23.61,210,210,30.3,36.2,15841,51.7,100,0.48,119.6,1.9,1.91,OK
tpch_sf2_q21,tpch,2,q21,358,0.0450,0.0697,34.94,247,244,31.5,42.2,15841,59.3,100,1.42,119.0,1.9,5.35,OK
tpch_sf2_q22,tpch,2,q22,5716,0.0020,0.0050,37.70,428,387,26.9,30.4,15841,21.4,94,0.05,110.0,1.8,0.22,OK
