run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_q1,h2o,2gb,q1,7145,0.0040,0.0060,22.76,255,113,38.4,48.8,15841,7.6,73,0.15,121.0,2.0,0.48,OK
h2o_sf2gb_q10,h2o,2gb,q10,4708,0.0170,0.0279,24.19,275,257,60.0,109.2,15841,30.4,96,1.02,116.0,1.9,1.97,OK
h2o_sf2gb_q2,h2o,2gb,q2,14290,0.0070,0.0079,23.63,269,226,40.9,56.0,15839,6.1,80,0.29,112.7,1.9,0.79,OK
h2o_sf2gb_q3,h2o,2gb,q3,8335,0.0110,0.0135,24.51,279,235,43.3,68.3,15837,12.4,94,0.48,118.4,1.9,1.30,OK
h2o_sf2gb_q4,h2o,2gb,q4,16670,0.0050,0.0058,23.09,263,256,39.0,50.2,15841,6.2,77,0.19,110.3,1.9,0.55,OK
h2o_sf2gb_q5,h2o,2gb,q5,0,,,,0,0,,,,,,,,,,FALLBACK
h2o_sf2gb_q6,h2o,2gb,q6,10000,0.0100,0.0115,23.47,268,172,41.7,65.0,15835,13.2,92,0.42,120.7,1.9,1.21,OK
h2o_sf2gb_q7,h2o,2gb,q7,11432,0.0060,0.0472,19.13,282,269,40.1,60.2,15841,12.5,78,0.24,121.6,1.9,0.73,FALLBACK
h2o_sf2gb_q8,h2o,2gb,q8,6250,0.0150,0.0173,24.54,277,232,44.4,72.3,15841,15.4,92,0.67,111.4,1.8,1.67,OK
h2o_sf2gb_q9,h2o,2gb,q9,3480,0.0220,0.0245,21.03,239,236,46.7,99.3,15841,15.3,89,1.03,116.8,1.9,2.57,OK
