run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q1,2gb,q1,62,56.29,86.0,1673.0,118.0,1.8
h2o_sf2gb_q1,2gb,q1,186,54.04,22.0,1411.0,104.5,1.8
h2o_sf2gb_q1,2gb,q1,390,53.33,22.0,1378.0,111.8,1.8
h2o_sf2gb_q1,2gb,q1,483,52.41,22.0,4554.0,117.1,1.8
h2o_sf2gb_q1,2gb,q1,587,51.86,22.0,4688.0,122.0,1.8
h2o_sf2gb_q1,2gb,q1,691,51.65,22.0,4688.0,125.8,1.9
h2o_sf2gb_q1,2gb,q1,790,51.64,22.0,4688.0,124.3,1.8
h2o_sf2gb_q1,2gb,q1,887,52.86,22.0,4688.0,125.3,1.8
h2o_sf2gb_q1,2gb,q1,1007,52.74,22.0,4768.0,125.9,1.8
h2o_sf2gb_q1,2gb,q1,1093,53.86,22.0,4416.0,121.5,1.8
h2o_sf2gb_q1,2gb,q1,1217,53.82,22.0,4464.0,120.7,2.3
h2o_sf2gb_q1,2gb,q1,1307,56.23,22.0,4536.0,123.2,1.8
h2o_sf2gb_q1,2gb,q1,1400,56.58,22.0,4614.0,124.9,1.9
h2o_sf2gb_q1,2gb,q1,1579,58.53,22.0,4672.0,118.5,1.9
h2o_sf2gb_q1,2gb,q1,1793,58.98,49.0,4761.0,116.1,1.8
h2o_sf2gb_q1,2gb,q1,1940,56.85,49.0,4601.0,113.7,1.8
h2o_sf2gb_q1,2gb,q1,2084,55.48,49.0,4749.0,110.9,1.8
h2o_sf2gb_q1,2gb,q1,2183,54.81,42.0,4500.0,115.9,1.9
h2o_sf2gb_q1,2gb,q1,2350,56.47,42.0,4596.0,116.3,1.8
h2o_sf2gb_q1,2gb,q1,2445,55.39,42.0,4664.0,124.1,1.8
h2o_sf2gb_q1,2gb,q1,2568,55.17,42.0,4718.0,115.6,1.8
h2o_sf2gb_q1,2gb,q1,2735,55.97,42.0,4718.0,119.1,1.8
h2o_sf2gb_q1,2gb,q1,2832,56.11,42.0,4760.0,119.2,1.8
h2o_sf2gb_q1,2gb,q1,2945,56.03,42.0,4592.0,124.3,1.9
h2o_sf2gb_q1,2gb,q1,3073,56.97,42.0,4632.0,124.2,1.8
h2o_sf2gb_q1,2gb,q1,3201,57.49,42.0,4490.0,121.7,1.8
h2o_sf2gb_q1,2gb,q1,3333,58.59,42.0,4532.0,121.0,1.8
h2o_sf2gb_q1,2gb,q1,3593,59.53,42.0,4592.0,122.7,1.8
h2o_sf2gb_q1,2gb,q1,3706,60.69,99.0,4652.0,129.9,1.8
h2o_sf2gb_q1,2gb,q1,3824,60.55,99.0,7496.0,129.6,1.8
h2o_sf2gb_q1,2gb,q1,3949,60.18,99.0,7518.0,131.0,1.8
h2o_sf2gb_q1,2gb,q1,4062,60.5,99.0,7540.0,135.3,1.8
h2o_sf2gb_q1,2gb,q1,4192,60.85,99.0,7580.0,125.9,1.8
h2o_sf2gb_q1,2gb,q1,4313,61.13,99.0,7580.0,121.8,1.8
h2o_sf2gb_q1,2gb,q1,4431,61.71,99.0,7416.0,122.4,1.8
h2o_sf2gb_q1,2gb,q1,4564,61.92,99.0,7456.0,120.9,1.8
h2o_sf2gb_q1,2gb,q1,4799,61.01,99.0,7438.0,116.3,1.8
h2o_sf2gb_q1,2gb,q1,5035,59.17,99.0,7344.0,113.5,1.8
h2o_sf2gb_q1,2gb,q1,5216,58.1,99.0,7370.0,119.3,1.8
h2o_sf2gb_q1,2gb,q1,5438,57.78,99.0,7426.0,114.5,1.8
h2o_sf2gb_q1,2gb,q1,5564,57.15,99.0,7486.0,122.0,1.8
h2o_sf2gb_q1,2gb,q1,5691,56.9,96.0,7500.0,122.6,1.8
h2o_sf2gb_q1,2gb,q1,5802,57.24,96.0,7528.0,122.7,1.8
h2o_sf2gb_q1,2gb,q1,5917,57.81,96.0,7528.0,138.7,1.9
h2o_sf2gb_q1,2gb,q1,6018,58.2,96.0,7528.0,135.9,1.8
h2o_sf2gb_q1,2gb,q1,6198,59.23,96.0,7568.0,137.9,1.8
h2o_sf2gb_q1,2gb,q1,6396,59.72,96.0,7460.0,120.8,1.8
h2o_sf2gb_q1,2gb,q1,6538,59.61,96.0,7274.0,133.8,1.8
h2o_sf2gb_q1,2gb,q1,6692,59.76,97.0,7314.0,119.6,1.8
h2o_sf2gb_q1,2gb,q1,6874,59.65,97.0,7366.0,117.5,1.8
h2o_sf2gb_q1,2gb,q1,7027,59.15,97.0,7418.0,120.0,1.8
h2o_sf2gb_q1,2gb,q1,7198,58.22,98.0,7470.0,119.1,1.9
h2o_sf2gb_q1,2gb,q1,7338,58.11,98.0,7534.0,123.0,1.8
h2o_sf2gb_q1,2gb,q1,7507,58.11,98.0,7534.0,126.6,1.8
h2o_sf2gb_q1,2gb,q1,7615,58.32,98.0,7534.0,123.8,1.8
h2o_sf2gb_q1,2gb,q1,7733,58.76,98.0,7534.0,124.7,1.8
h2o_sf2gb_q1,2gb,q1,7847,59.03,98.0,7534.0,123.6,1.8
h2o_sf2gb_q1,2gb,q1,8027,59.58,98.0,7614.0,124.9,1.8
h2o_sf2gb_q1,2gb,q1,8141,59.48,100.0,7288.0,125.2,1.8
h2o_sf2gb_q1,2gb,q1,8300,60.07,100.0,7298.0,120.6,1.8
h2o_sf2gb_q1,2gb,q1,8477,59.88,100.0,7350.0,122.3,1.8
h2o_sf2gb_q1,2gb,q1,8863,58.87,98.0,7400.0,121.3,1.8
h2o_sf2gb_q1,2gb,q1,9041,56.99,98.0,7440.0,127.5,1.8
h2o_sf2gb_q1,2gb,q1,9214,56.7,98.0,7484.0,128.8,1.8
h2o_sf2gb_q1,2gb,q1,9337,56.69,98.0,7520.0,124.1,1.8
h2o_sf2gb_q1,2gb,q1,9452,56.84,98.0,7540.0,125.7,1.8
h2o_sf2gb_q1,2gb,q1,9563,57.22,98.0,7540.0,125.2,1.8
h2o_sf2gb_q1,2gb,q1,9665,57.71,98.0,7540.0,124.0,1.8
h2o_sf2gb_q1,2gb,q1,9780,58.55,98.0,7540.0,125.3,1.8
h2o_sf2gb_q1,2gb,q1,9919,59.04,98.0,7580.0,124.3,1.8
h2o_sf2gb_q1,2gb,q1,10374,59.24,100.0,7432.0,113.0,1.8
h2o_sf2gb_q1,2gb,q1,10574,58.34,100.0,7338.0,116.1,1.8
h2o_sf2gb_q1,2gb,q1,10718,57.97,100.0,7278.0,122.1,1.8
h2o_sf2gb_q1,2gb,q1,10908,57.64,100.0,7330.0,117.9,1.8
