run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
tpch_sf1_q1,1,q1,72,66.01,89.0,1631.0,114.3,1.9
tpch_sf1_q1,1,q1,161,62.38,89.0,1583.0,119.0,1.8
tpch_sf1_q1,1,q1,240,60.1,89.0,1614.0,123.8,1.8
tpch_sf1_q1,1,q1,316,60.94,89.0,4680.0,127.0,1.9
tpch_sf1_q1,1,q1,392,59.32,89.0,4708.0,125.1,1.8
tpch_sf1_q1,1,q1,468,59.32,89.0,4712.0,126.4,1.8
tpch_sf1_q1,1,q1,544,60.32,89.0,4712.0,128.4,1.9
tpch_sf1_q1,1,q1,620,59.84,89.0,4712.0,125.3,1.8
tpch_sf1_q1,1,q1,696,59.75,77.0,4496.0,128.1,1.9
tpch_sf1_q1,1,q1,772,59.75,77.0,4516.0,123.1,1.8
tpch_sf1_q1,1,q1,847,60.64,77.0,4584.0,126.6,1.9
tpch_sf1_q1,1,q1,923,64.17,77.0,4656.0,127.4,1.9
tpch_sf1_q1,1,q1,999,66.71,77.0,4618.0,125.3,1.8
tpch_sf1_q1,1,q1,1075,66.71,77.0,4658.0,125.8,1.8
tpch_sf1_q1,1,q1,1172,66.92,77.0,4678.0,125.9,1.9
tpch_sf1_q1,1,q1,1315,68.95,63.0,4710.0,121.4,2.0
tpch_sf1_q1,1,q1,1432,68.62,63.0,4773.0,121.7,1.8
tpch_sf1_q1,1,q1,1516,68.67,63.0,4969.0,120.7,1.8
tpch_sf1_q1,1,q1,1594,68.5,63.0,4536.0,126.5,2.0
tpch_sf1_q1,1,q1,1672,68.5,63.0,4580.0,126.5,1.8
tpch_sf1_q1,1,q1,1751,68.36,88.0,4648.0,127.4,1.8
tpch_sf1_q1,1,q1,1829,68.3,88.0,4710.0,124.5,1.8
tpch_sf1_q1,1,q1,1936,68.17,88.0,4692.0,120.6,1.8
tpch_sf1_q1,1,q1,2076,67.43,88.0,4684.0,120.2,1.8
tpch_sf1_q1,1,q1,2152,67.24,88.0,4720.0,117.4,1.8
tpch_sf1_q1,1,q1,2259,67.7,87.0,4748.0,120.8,2.0
tpch_sf1_q1,1,q1,2338,67.95,87.0,4772.0,122.6,2.0
tpch_sf1_q1,1,q1,2414,70.37,87.0,4812.0,124.7,1.8
tpch_sf1_q1,1,q1,2492,72.17,87.0,4532.0,128.2,2.0
tpch_sf1_q1,1,q1,2570,72.17,87.0,4578.0,128.7,2.0
tpch_sf1_q1,1,q1,2646,74.32,87.0,7432.0,126.2,1.8
tpch_sf1_q1,1,q1,2724,75.19,87.0,7490.0,125.1,1.8
tpch_sf1_q1,1,q1,2806,75.85,87.0,7528.0,126.8,1.8
