run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
clickbench_sf20_q0,clickbench,20,q0,4,0.0000,0.5496,3.76,47,47,56.2,83.1,15665,0.0,0,0.00,111.9,1.9,0.00,OK
clickbench_sf20_q1,clickbench,20,q1,4,0.0010,0.5606,3.84,47,1,54.8,54.8,15,4.0,4,0.05,107.2,1.9,0.11,OK
clickbench_sf20_q10,clickbench,20,q10,4,0.0160,0.6342,4.21,51,48,54.0,61.1,15689,2.6,6,0.86,113.1,1.9,1.81,OK
clickbench_sf20_q11,clickbench,20,q11,4,0.0210,0.6390,4.23,53,53,55.6,67.8,15701,0.0,0,1.17,117.8,1.9,2.47,OK
clickbench_sf20_q12,clickbench,20,q12,4,0.0080,0.6338,4.17,52,38,56.1,67.8,15669,9.0,9,0.45,112.3,1.9,0.90,OK
clickbench_sf20_q13,clickbench,20,q13,4,0.0760,0.7044,4.56,56,12,89.8,100.7,15701,35.0,35,6.83,112.0,1.8,8.51,OK
clickbench_sf20_q14,clickbench,20,q14,4,0.0090,0.6492,4.29,52,5,57.7,58.9,15695,19.0,19,0.52,111.3,1.9,1.00,OK
clickbench_sf20_q15,clickbench,20,q15,4,0.0090,0.5836,3.96,49,12,58.1,59.1,15701,10.0,10,0.52,111.9,1.8,1.01,OK
clickbench_sf20_q16,clickbench,20,q16,4,0.0160,0.6648,4.35,55,11,63.7,64.5,5447,61.0,61,1.02,111.5,1.8,1.78,OK
clickbench_sf20_q17,clickbench,20,q17,4,0.0120,0.6548,4.30,53,2,58.5,63.9,16,61.0,61,0.70,109.5,1.9,1.31,OK
clickbench_sf20_q18,clickbench,20,q18,4,0.0350,0.6880,4.47,55,5,66.7,77.1,15703,29.0,29,2.33,111.8,1.8,3.91,OK
clickbench_sf20_q19,clickbench,20,q19,4,0.0010,0.5708,3.87,47,12,53.8,54.5,15669,14.0,14,0.05,111.7,1.8,0.11,OK
clickbench_sf20_q2,clickbench,20,q2,4,0.0020,0.5840,3.96,48,42,52.7,54.5,15691,7.7,9,0.11,114.3,1.9,0.23,OK
clickbench_sf20_q20,clickbench,20,q20,3,0.0140,0.9620,4.89,61,5,53.7,54.2,283,1.0,1,0.75,109.4,1.8,1.53,OK
clickbench_sf20_q21,clickbench,20,q21,3,0.0170,1.0508,5.25,65,5,62.1,65.2,15701,48.0,48,1.06,111.9,1.8,1.90,OK
clickbench_sf20_q22,clickbench,20,q22,3,0.0390,1.4163,6.78,85,48,59.6,83.7,15697,11.2,14,2.32,115.4,2.0,4.50,OK
clickbench_sf20_q23,clickbench,20,q23,3,0.0160,1.3332,6.42,80,80,56.6,73.0,15701,3.3,24,0.91,114.2,1.9,1.83,OK
clickbench_sf20_q24,clickbench,20,q24,4,0.0040,0.6342,4.20,53,2,65.4,65.4,16,24.0,24,0.26,113.9,1.9,0.46,OK
clickbench_sf20_q25,clickbench,20,q25,4,0.0590,0.6762,4.40,54,6,90.2,91.5,5443,97.0,97,5.32,113.1,1.8,6.67,OK
clickbench_sf20_q26,clickbench,20,q26,4,0.0230,0.6544,4.28,52,12,60.8,64.9,283,1.0,1,1.40,111.6,1.9,2.57,OK
clickbench_sf20_q27,clickbench,20,q27,3,0.0230,0.9892,5.01,62,62,57.8,69.8,15703,0.0,0,1.33,117.9,1.9,2.71,OK
clickbench_sf20_q28,clickbench,20,q28,0,,,,0,0,,,,,,,,,,FALLBACK
clickbench_sf20_q29,clickbench,20,q29,4,0.0220,0.6000,4.03,49,49,54.0,67.9,15701,0.0,0,1.19,112.1,1.9,2.47,OK
clickbench_sf20_q3,clickbench,20,q3,4,0.0010,0.5704,3.87,47,47,52.8,54.7,15669,0.0,0,0.05,112.4,1.9,0.11,OK
