benchmark,sf,query,first_run_s,min_subsequent_s,transfer_overhead_s,all_rep_times,wall_time_s,gpu_power_avg_w,gpu_energy_j,cpu_energy_j,max_mem_mb,status
tpch,1,q1,0.1510,0.0040,0.1470,"[0.151, 0.007, 0.004, 0.005, 0.004, 0.005, 0.004, 0.004, 0.004, 0.004]",57.74,61.5,2231.2,0.0,80558,OK
tpch,1,q3,0.0940,0.0030,0.0910,"[0.094, 0.005, 0.003, 0.004, 0.004, 0.003, 0.004, 0.004, 0.003, 0.004]",45.51,61.8,1778.9,0.0,80560,OK
tpch,1,q6,0.0520,0.0000,0.0520,"[0.052, 0.002, 0.001, 0.002, 0.0, 0.002, 0.001, 0.001, 0.001, 0.002]",46.14,61.6,1756.0,0.0,80546,OK
tpch,5,q1,0.8660,0.0630,0.8030,"[0.866, 0.066, 0.067, 0.067, 0.063, 0.064, 0.065, 0.067, 0.063, 0.07]",47.58,63.1,1863.4,0.0,80570,OK
tpch,5,q3,0.5090,0.0090,0.5000,"[0.509, 0.016, 0.01, 0.01, 0.009, 0.009, 0.01, 0.009, 0.01, 0.01]",45.55,61.6,1784.7,0.0,80628,OK
tpch,5,q6,0.4110,0.0020,0.4090,"[0.411, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003]",45.96,61.4,1777.8,0.0,80546,OK
tpch,10,q1,1.9570,0.1260,1.8310,"[1.957, 0.132, 0.128, 0.127, 0.136, 0.133, 0.128, 0.126, 0.126, 0.131]",51.15,64.2,2011.0,0.0,80570,OK
tpch,10,q3,1.2370,0.0140,1.2230,"[1.237, 0.017, 0.014, 0.019, 0.02, 0.02, 0.016, 0.015, 0.015, 0.021]",51.46,61.8,1903.0,0.0,80634,OK
tpch,10,q6,0.9860,0.0030,0.9830,"[0.986, 0.007, 0.005, 0.007, 0.005, 0.004, 0.005, 0.004, 0.003, 0.004]",53.44,61.1,2011.8,0.0,80562,OK
tpch,20,q1,3.4530,0.2460,3.2070,"[3.453, 0.249, 0.252, 0.251, 0.252, 0.251, 0.246, 0.249, 0.255, 0.25]",52.57,65.9,2193.7,0.0,80570,OK
