run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf3gb_q1,h2o,3gb,q1,3,0.0190,0.9630,4.88,61,18,56.7,69.6,15699,21.1,59,1.08,119.1,2.0,2.26,OK
h2o_sf3gb_q10,h2o,3gb,q10,0,,,,0,0,,,,,,,,,,FALLBACK
h2o_sf3gb_q2,h2o,3gb,q2,3,0.0330,1.1620,5.70,70,60,55.4,83.8,15701,3.9,38,1.83,120.9,1.9,3.99,OK
h2o_sf3gb_q3,h2o,3gb,q3,3,0.2350,1.5962,7.52,94,11,103.5,122.3,15703,64.2,81,24.33,111.5,2.0,26.21,OK
h2o_sf3gb_q4,h2o,3gb,q4,3,0.0180,0.9930,5.03,62,62,57.0,70.7,15697,0.0,0,1.03,113.7,1.9,2.05,OK
h2o_sf3gb_q5,h2o,3gb,q5,3,0.0270,0.9942,5.04,63,7,76.7,78.4,5443,23.0,23,2.07,113.8,1.8,3.07,OK
h2o_sf3gb_q6,h2o,3gb,q6,3,0.0530,1.0010,5.05,63,11,86.2,88.8,5447,34.0,34,4.57,112.0,1.8,5.93,OK
h2o_sf3gb_q7,h2o,3gb,q7,3,0.2250,1.4415,6.85,86,77,61.6,119.0,15703,13.2,62,13.87,114.9,1.9,25.86,OK
h2o_sf3gb_q8,h2o,3gb,q8,3,0.0320,0.9595,4.91,61,6,71.5,79.2,15701,63.0,63,2.29,113.3,1.8,3.63,OK
h2o_sf3gb_q9,h2o,3gb,q9,0,,,,0,0,,,,,,,,,,FALLBACK
