run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf5_q01,tpch,5,q01,4617,0.0010,0.0113,65.75,819,760,164.3,197.1,15841,71.1,94,0.16,116.5,1.8,0.12,OK
tpch_sf5_q02,tpch,5,q02,12000,0.0050,0.0077,100.60,1315,1267,84.7,88.5,15841,25.0,29,0.42,112.7,1.8,0.56,OK
tpch_sf5_q03,tpch,5,q03,13334,0.0030,0.0053,79.98,1029,966,130.9,141.8,15841,50.6,60,0.39,113.9,1.8,0.34,OK
tpch_sf5_q04,tpch,5,q04,13334,0.0030,0.0052,77.84,994,939,139.9,148.6,15841,54.7,63,0.42,113.9,1.8,0.34,OK
tpch_sf5_q05,tpch,5,q05,12000,0.0030,0.0055,74.46,967,912,116.2,127.8,15841,35.1,48,0.35,114.1,1.8,0.34,OK
tpch_sf5_q06,tpch,5,q06,10000,0.0050,0.0062,66.56,840,783,173.6,175.7,15841,78.1,80,0.87,112.3,1.8,0.56,OK
tpch_sf5_q07,tpch,5,q07,10000,0.0050,0.0077,85.53,1110,1053,113.2,120.9,15841,38.4,47,0.57,113.0,1.8,0.57,OK
tpch_sf5_q08,tpch,5,q08,10000,0.0040,0.0067,75.46,979,917,104.3,119.5,15841,28.0,41,0.42,113.2,1.8,0.45,OK
tpch_sf5_q09,tpch,5,q09,6316,0.0040,0.0081,60.20,777,723,145.9,162.2,15841,50.4,67,0.58,114.3,1.8,0.46,OK
tpch_sf5_q10,tpch,5,q10,10910,0.0040,0.0065,80.11,1028,961,126.4,134.5,15841,46.5,55,0.51,114.1,1.8,0.46,OK
tpch_sf5_q11,tpch,5,q11,30000,0.0010,0.0022,138.26,1810,1743,82.6,87.2,15841,17.8,23,0.08,113.2,1.8,0.11,OK
tpch_sf5_q12,tpch,5,q12,12000,0.0040,0.0061,81.82,1051,996,142.5,150.5,15841,57.5,64,0.57,113.8,1.8,0.46,OK
tpch_sf5_q13,tpch,5,q13,56000,0.0150,0.0157,62.57,754,746,61.8,97.7,15841,4.3,87,0.93,112.0,1.8,1.68,OK
tpch_sf5_q14,tpch,5,q14,30000,0.0020,0.0034,111.05,1439,1381,119.6,124.7,15841,44.0,48,0.24,113.1,1.8,0.23,OK
tpch_sf5_q15,tpch,5,q15,24000,0.0020,0.0042,108.39,1410,1348,110.3,114.4,15841,37.9,42,0.22,113.2,1.8,0.23,OK
tpch_sf5_q16,tpch,5,q16,5457,0.0020,0.0095,64.03,830,779,119.3,134.1,15841,60.4,84,0.24,116.1,1.8,0.23,OK
tpch_sf5_q17,tpch,5,q17,10002,0.0010,0.0059,72.12,932,880,148.1,171.3,15841,56.4,83,0.15,115.6,1.8,0.12,OK
tpch_sf5_q18,tpch,5,q18,5456,0.0150,0.0174,103.06,1305,1254,173.2,181.1,15841,80.8,87,2.60,112.8,1.8,1.69,OK
tpch_sf5_q19,tpch,5,q19,12000,0.0030,0.0059,80.63,1035,969,136.5,144.2,15841,52.2,63,0.41,114.2,1.8,0.34,OK
tpch_sf5_q20,tpch,5,q20,10910,0.0040,0.0069,84.12,1088,1035,104.2,109.4,15841,41.7,50,0.42,113.0,1.8,0.45,OK
tpch_sf5_q21,tpch,5,q21,5295,0.0070,0.0136,84.64,1078,1026,146.9,167.3,15841,61.4,79,1.03,114.3,1.8,0.80,OK
tpch_sf5_q22,tpch,5,q22,20000,0.0020,0.0043,95.09,1238,1177,94.7,103.8,15841,24.4,32,0.19,-2783.1,1.8,-5.57,OK
