run_id,sf,query,time_s,zeus_energy_j,num_samples
sf1_q01,1,q01,10.863215577788651,,149
sf1_q02,1,q02,12.264399574138224,,174
sf1_q03,1,q03,9.657458862289786,,135
sf1_q04,1,q04,9.458887788001448,,130
sf1_q05,1,q05,10.459790227934718,,153
sf1_q06,1,q06,9.121342487633228,,141
sf1_q07,1,q07,10.644009352196008,,156
sf1_q08,1,q08,10.928967860992998,,164
sf1_q09,1,q09,12.339230101089925,,182
sf1_q10,1,q10,10.694946272764355,,149
sf1_q11_sf1,1,q11_sf1,9.975950999185443,,137
sf1_q11_sf10,1,q11_sf10,9.96417474700138,,146
sf1_q11_sf2,1,q11_sf2,9.88953681010753,,137
sf1_q11_sf20,1,q11_sf20,10.03311080718413,,139
sf1_q12,1,q12,9.756486834958196,,143
sf1_q13,1,q13,9.676033485215157,,143
sf1_q14,1,q14,9.521104427054524,,130
sf1_q15,1,q15,9.743135321885347,,135
sf1_q16,1,q16,11.641184356063604,,179
sf1_q17,1,q17,10.106339839752764,,150
sf1_q18,1,q18,11.19887295505032,,169
sf1_q19,1,q19,10.1073276149109,,162
sf1_q20,1,q20,10.470917315687984,,151
sf1_q21,1,q21,13.009577867109329,,195
sf1_q22,1,q22,9.550698828417808,,147
sf2_q01,2,q01,10.477047088555992,,143
sf2_q02,2,q02,11.79836010420695,,156
sf2_q03,2,q03,9.546957641839981,,151
sf2_q04,2,q04,9.594169343821704,,142
sf2_q05,2,q05,10.14275766722858,,151
sf2_q06,2,q06,9.116477380972356,,140
sf2_q07,2,q07,10.537844561971724,,161
sf2_q08,2,q08,10.845022373832762,,150
sf2_q09,2,q09,10.740598132833838,,151
sf2_q10,2,q10,10.470965455751866,,157
sf2_q11_sf1,2,q11_sf1,9.77118998998776,,142
sf2_q11_sf10,2,q11_sf10,9.801085937768221,,144
sf2_q11_sf2,2,q11_sf2,9.96017831005156,,152
sf2_q11_sf20,2,q11_sf20,10.189721580129117,,163
sf2_q12,2,q12,9.61993367318064,,139
sf2_q13,2,q13,9.596696652006358,,140
sf2_q14,2,q14,9.35087505588308,,149
sf2_q15,2,q15,9.54319651890546,,149
sf2_q16,2,q16,11.056840495206416,,164
sf2_q17,2,q17,9.870147960726172,,149
sf2_q18,2,q18,10.097113939933479,,155
sf2_q19,2,q19,10.325359311886132,,150
sf2_q20,2,q20,10.303527907002717,,152
sf2_q21,2,q21,11.09147288557142,,226
sf2_q22,2,q22,9.455008512828499,,270
sf10_q01,10,q01,16.531579290051013,,455
sf10_q02,10,q02,12.323416024446487,,327
sf10_q03,10,q03,11.408243616111577,,312
sf10_q04,10,q04,11.120768280234188,,322
sf10_q05,10,q05,11.623270194977522,,323
sf10_q06,10,q06,10.287686712108552,,285
sf10_q07,10,q07,11.968492310028523,,217
sf10_q08,10,q08,12.512078667990863,,167
sf10_q09,10,q09,12.983888139016926,,193
sf10_q10,10,q10,12.329263795167208,,186
sf10_q11_sf1,10,q11_sf1,10.033567972946912,,154
sf10_q11_sf10,10,q11_sf10,10.091815188992769,,143
sf10_q11_sf2,10,q11_sf2,10.085696081630886,,142
sf10_q11_sf20,10,q11_sf20,10.046973983757198,,148
sf10_q12,10,q12,11.205834663007408,,162
sf10_q13,10,q13,11.881288366392255,,226
sf10_q14,10,q14,10.334466796834022,,151
sf10_q15,10,q15,10.295033873990178,,161
sf10_q16,10,q16,13.098579552024603,,197
sf10_q17,10,q17,11.719500218052417,,181
sf10_q18,10,q18,12.452191524207592,,190
sf10_q19,10,q19,12.681337596848607,,198
sf10_q20,10,q20,11.659907385706902,,194
sf10_q21,10,q21,15.015314751770347,,264
sf10_q22,10,q22,9.915264609735459,,269
sf20_q01,20,q01,29.703399092890322,,863
sf20_q02,20,q02,12.680853568948805,,363
sf20_q03,20,q03,12.322610537987202,,347
sf20_q04,20,q04,12.615315601229668,,332
sf20_q05,20,q05,13.139266646001488,,369
sf20_q06,20,q06,11.424710745923221,,327
sf20_q07,20,q07,13.598139194771647,,392
sf20_q08,20,q08,14.313516167923808,,420
sf20_q09,20,q09,16.305830595083535,,474
sf20_q10,20,q10,14.082637816201895,,397
sf20_q11_sf1,20,q11_sf1,10.261597630102187,,296
sf20_q11_sf10,20,q11_sf10,10.35054116602987,,295
sf20_q11_sf2,20,q11_sf2,10.538329537026584,,304
sf20_q11_sf20,20,q11_sf20,10.386002040002495,,297
sf20_q12,20,q12,13.180247649084777,,380
sf20_q13,20,q13,14.807588037569076,,426
sf20_q14,20,q14,11.167544424999505,,326
sf20_q15,20,q15,11.43520284909755,,328
sf20_q16,20,q16,18.19775672722608,,327
sf20_q17,20,q17,13.569407537113875,,196
sf20_q18,20,q18,15.436730511020869,,226
sf20_q19,20,q19,15.780420525930822,,244
sf20_q20,20,q20,13.146810790058225,,191
sf20_q21,20,q21,19.268258915748447,,295
sf20_q22,20,q22,10.187347022350878,,156
